,fighter1,fighter2,event_name,event_date,details,result,fighter_name
3,Raphael Assuncao,Marlon Moraes,UFC 212 Aldo vs Holloway,"Jun 3, 2017",Live on Pay-Per-View,Loss,Marlon Moraes
0,Sergio Moraes,Ben Saunders,UFC Fight Night Santos vs Anders,"Sep 22, 2018",Live on TSN 5,Win,Sergio Moraes
1,Sergio Moraes,Tim Means,UFC Fight Night Machida vs. Anders,"Feb 3, 2018",Live on TSN 2,Win,Sergio Moraes
2,Kamaru Usman,Sergio Moraes,UFC Fight Night Rockhold vs Branch,"Sep 16, 2017",Live on RDS 2,Loss,Sergio Moraes
3,Sergio Moraes,Davi Ramos,UFC Fight Night Belfort vs Gastelum,"Mar 11, 2017",Live on TSN 5,Win,Sergio Moraes
4,Sergio Moraes,Zak Ottow,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,Win,Sergio Moraes
5,Sergio Moraes,Luan Chagas,UFC 198 Werdum vs. Miocic,"May 14, 2016",Live on Pay-Per-View,DRAW,Sergio Moraes
6,Omari Akhmedov,Sergio Moraes,UFC Fight Night Namajunas vs VanZant,"Dec 10, 2015",Fight Network,Win,Sergio Moraes
7,Sergio Moraes,Mickael Lebout,UFC Fight Night Gonzaga vs. Cro Cop 2,"Apr 11, 2015",FIGHT NETWORK,Win,Sergio Moraes
8,Sergio Moraes,Neil Magny,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,Win,Sergio Moraes
9,Sergio Moraes,Renee Forte,UFC® 153,"Oct 13, 2012",Silva vs. Bonnar,Win,Sergio Moraes
10,Cezar Ferreira,Sergio Moraes,UFC® 147,"Jun 23, 2012",Silva vs. Franklin II,,Sergio Moraes
0,Julio Arce,Sheymon Moraes,UFC 230 Cormier vs Lewis,"Nov 3, 2018",Live on Pay-Per-View,Win,Sheymon Moraes
1,Matt Sayles,Sheymon Moraes,UFC 227 Dillashaw vs Garbrandt 2,"Aug 4, 2018",Live on Pay-Per-View,Win,Sheymon Moraes
2,Zabit Magomedsharipov,Sheymon Moraes,UFC Fight Night Bisping vs Gastelum,"Nov 25, 2017",Live on Fight Network,Loss,Sheymon Moraes
0,John Moraga,Deiveson Figueiredo,UFC Fight Night Gaethje vs Vick,"Aug 25, 2018",Live on TSN 5,Loss,John Moraga
1,Wilson Reis,John Moraga,UFC Fight Night Poirier vs Gaethje,"Apr 14, 2018",Live on CTV TWO,Win,John Moraga
2,John Moraga,Magomed Bibulatov,UFC 216 Ferguson vs. Lee,"Oct 7, 2017",Live on Pay-Per-View,Win,John Moraga
3,John Moraga,Ashkan Mokhtarian,UFC Fight Night Lewis vs Hunt,"Jun 10, 2017",Live on TSN 5,Win,John Moraga
4,John Moraga,Sergio Pettis,UFC Fight Night Rodriguez vs Penn,"Jan 15, 2017",Live on TSN 5,Loss,John Moraga
5,John Moraga,Matheus Nicolau,The Ultimate Fighter Finale Team Joanna vs. Team Claudia,"Jul 8, 2016",TSN 5,Loss,John Moraga
6,Joseph Benavidez,John Moraga,UFC 187 Johnson vs. Cormier,"May 23, 2015",Live on Pay-Per-View,Loss,John Moraga
7,John Moraga,Willie Gates,UFC Fight Night Dos Santos vs. Miocic,"Dec 13, 2014",Sportsnet 360,Win,John Moraga
8,John Moraga,Justin Scoggins,UFC Fight Night Jacare vs. Mousasi,"Sep 5, 2014",UFC FIGHT PASS,Win,John Moraga
9,John Dodson,John Moraga,UFC Fight Night,"Jun 7, 2014",Henderson vs Khabilov,Loss,John Moraga
10,John Moraga,Dustin Ortiz,UFC Fight Night Live on Sportsnet 360,"Jan 15, 2014",Rockhold vs. Philippou,Win,John Moraga
11,Demetrious Johnson,John Moraga,UFC on FOX 8 Live from Seattle,"Jul 27, 2013",Johnson vs. Moraga,,John Moraga
12,Chris Cariaso,John Moraga,UFC 155,"Dec 29, 2012",Dos Santos vs. Velasquez II,Win,John Moraga
13,John Moraga,Ulysses Gomez,UFC on FOX,"Aug 4, 2012",Shogun vs Vera,Win,John Moraga
0,Albert Morales,Manny Bermudez,UFC Fight Night Emmett vs Stephens,"Feb 24, 2018",Live on CTV TWO,Loss,Albert Morales
1,Albert Morales,Benito Lopez,UFC Fight Night Swanson vs Ortega,"Dec 9, 2017",Live on TSN 5,Loss,Albert Morales
2,Brett Johns,Albert Morales,UFC Fight Night Nelson vs Ponzinibbio,"Jul 16, 2017",Live on FS1,Loss,Albert Morales
3,Albert Morales,Andre Soukhamthath,UFC 209 Woodley vs Thompson 2,"Mar 4, 2017",Live on Pay-Per-View,Win,Albert Morales
4,Thomas Almeida,Albert Morales,UFC Fight Night Bader vs Nogueira,"Nov 19, 2016",Live on TSN 5,Loss,Albert Morales
5,Alejandro Perez,Albert Morales,UFC Fight Night Poirier vs Johnson,"Sep 17, 2016",Live on TSN 4/5,DRAW,Albert Morales
0,Joseph Morales,Eric Shelton,UFC Fight Night,"Nov 10, 2018",Korean Zombie vs. Rodriguez,UPCOMING,Joseph Morales
1,Deiveson Figueiredo,Joseph Morales,UFC Fight Night Machida vs. Anders,"Feb 3, 2018",Live on TSN 2,Loss,Joseph Morales
2,Joseph Morales,Roberto Sanchez,UFC Fight Night Pettis vs Moreno,"Aug 5, 2017",Live on TSN 5,Win,Joseph Morales
0,Sarah Moras,Talita Bernardo,UFC Fight Night Volkan vs Smith,"Oct 27, 2018",Live on TSN 5,Loss,Sarah Moras
1,Sarah Moras,Lucie Pudilova,UFC Fight Night Cerrone vs Medeiros,"Feb 18, 2018",Live on TSN 2,Loss,Sarah Moras
2,Sarah Moras,Ashlee Evans-Smith,UFC 215 Nunes vs Shevchenko 2,"Sep 9, 2017",Live on Pay-Per-View,Win,Sarah Moras
3,Jessica Andrade,Sarah Moras,UFC Fight Night Mir vs. Duffee,"Jul 15, 2015",TSN 4/5,Loss,Sarah Moras
4,Sarah Moras,Alexis Dufresne,TUF 19 Finale Edgar vs. Penn,"Jul 6, 2014",Sportsnet 360,Win,Sarah Moras
0,Brandon Moreno,Alexandre Pantoja,UFC Fight Night Maia vs Usman,"May 19, 2018",Live on TSN 2,Loss,Brandon Moreno
1,Sergio Pettis,Brandon Moreno,UFC Fight Night Pettis vs Moreno,"Aug 5, 2017",Live on TSN 5,Loss,Brandon Moreno
2,Dustin Ortiz,Brandon Moreno,UFC Fight Night Swanson vs Lobov,"Apr 22, 2017",Live on TSN 5,Win,Brandon Moreno
3,Brandon Moreno,Ryan Benoit,The Ultimate Fighter A Tournament of Champions Finale,"Dec 3, 2016",Live on TSN 2,Win,Brandon Moreno
4,Louis Smolka,Brandon Moreno,UFC Fight Night Lineker vs Dodson,"Oct 1, 2016",Live on TSN 2,Win,Brandon Moreno
0,Gilbert Burns,Dan Moret,UFC Fight Night Poirier vs Gaethje,"Apr 14, 2018",Live on CTV TWO,Loss,Dan Moret
0,Song Kenan,Alex Morono,UFC Fight Night,"Nov 24, 2018",Ngannou vs. Blaydes,UPCOMING,Alex Morono
1,Jordan Mein,Alex Morono,UFC Fight Night Alvarez vs Poirier,"Jul 28, 2018",Live on CTV TWO,Loss,Alex Morono
2,Joshua Burkman,Alex Morono,UFC Fight Night Cerrone vs Medeiros,"Feb 18, 2018",Live on TSN 2,Win,Alex Morono
