,fighter1,fighter2,event_name,event_date,details,result,fighter_name
5,Rampage Jackson,Chuck Liddell,UFC® 71,"May 26, 2007",LIDDELL vs JACKSON,,Chuck Liddell
6,Chuck Liddell,Tito Ortiz,UFC® 66,"Dec 30, 2006",LIDDELL VS. ORTIZ,,Chuck Liddell
7,Chuck Liddell,Renato Sobral,UFC® 62,"Aug 26, 2006",LIDDELL VS. SOBRAL,,Chuck Liddell
8,Chuck Liddell,Randy Couture,UFC® 57,"Feb 4, 2006",Liddell vs Couture 3,,Chuck Liddell
9,Chuck Liddell,Jeremy Horn,UFC® 54,"Aug 20, 2005",Boiling Point,,Chuck Liddell
10,Chuck Liddell,Randy Couture,UFC® 52,"Apr 16, 2005",Couture vs Liddell II,,Chuck Liddell
11,Chuck Liddell,Vernon White,UFC® 49,"Aug 21, 2004",Unfinished Business,Win,Chuck Liddell
12,Chuck Liddell,Tito Ortiz,UFC® 47,"Apr 2, 2004",IT'S ON,Win,Chuck Liddell
13,Quinton Jackson,Chuck Liddell,PRIDE Final Conflict 2003,"Nov 9, 2003",,Loss,Chuck Liddell
14,Chuck Liddell,Alistair Overeem,PRIDE Total Elimination 2003,"Aug 10, 2003",,Win,Chuck Liddell
15,Randy Couture,Chuck Liddell,UFC® 43,"Jun 6, 2003",Meltdown,,Chuck Liddell
16,Chuck Liddell,Renato Sobral,UFC® 40,"Nov 22, 2002",Vendetta,Win,Chuck Liddell
17,Chuck Liddell,Vitor Belfort,UFC® 37.5,"Jun 22, 2002",As Real As It Gets®,Win,Chuck Liddell
18,Chuck Liddell,Amar Suloev,UFC® 35,"Jan 11, 2002",Throwdown,Win,Chuck Liddell
19,Chuck Liddell,Murilo Bustamante,UFC® 33,"Sep 28, 2001",Victory In Vegas,Win,Chuck Liddell
20,Chuck Liddell,Guy Mezger,PRIDE 14,"May 27, 2001",Clash of the Titans,Win,Chuck Liddell
21,Chuck Liddell,Kevin Randleman,UFC® 31,"May 4, 2001",Locked & Loaded,Win,Chuck Liddell
22,Chuck Liddell,Jeff Monson,UFC® 29,"Dec 16, 2000",Defense Of The Belts,Win,Chuck Liddell
23,Chuck Liddell,Paul Jones,UFC® 22,"Sep 24, 1999",There Can Be Only One Champion,Win,Chuck Liddell
24,Jeremy Horn,Chuck Liddell,UFC® 19,"Mar 5, 1999",Young Guns,Loss,Chuck Liddell
25,Chuck Liddell,Noe Hernandez,UFC® 17,"May 15, 1998",Redemption,Win,Chuck Liddell
0,Jake Lindsey,Joe Duffy,UFC 185 Pettis vs. dos Anjos,"Mar 14, 2015",Live on Pay-Per-View,Loss,Jake Lindsey
1,Olivier Aubin-Mercier,Jake Lindsey,UFC Fight Night MacDonald vs. Saffiedine,"Oct 4, 2014",Sportsnet 360,Loss,Jake Lindsey
2,Jon Tuck,Jake Lindsey,UFC Fight Night,"Jun 7, 2014",Henderson vs Khabilov,Loss,Jake Lindsey
0,Zhang Lipeng,Kajan Johnson,UFC Fight Night Edgar vs. Faber,"May 16, 2015",TSN,Loss,Zhang Lipeng
1,Zhang Lipeng,Chris Wade,UFC Fight Night McGregor vs. Siver,"Jan 18, 2015",TSN 2,Loss,Zhang Lipeng
2,Zhang Lipeng,Brendan O'Reilly,UFC Fight Night Bisping vs. Le,"Aug 23, 2014",UFC FIGHT PASS,Win,Zhang Lipeng
3,Wang Sai,Zhang Lipeng,UFC Fight Night Kim vs. Hathaway,"Mar 1, 2014",UFC Fight Pass,,Zhang Lipeng
0,Chris Gruetzemacher,Abner Lloveras,The Ultimate Fighter Finale Team McGregor vs Team Faber,"Dec 11, 2015",TSN 1/5,Loss,Abner Lloveras
0,Anthony Birchak,Dileno Lopes,UFC Fight Night Dos Anjos vs. Alvarez,"Jul 7, 2016",Live on Fight Network,Loss,Dileno Lopes
1,Reginaldo Vieira,Dileno Lopes,UFC 190 Rousey vs. Correia,"Aug 1, 2015",Live on Pay-Per-View,,Dileno Lopes
0,Amir Sadollah,Jorge Lopez,UFC,"May 15, 2012",Korean Zombie vs. Poirier,Loss,Jorge Lopez
1,Justin  Edwards,Jorge Lopez,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Loss,Jorge Lopez
0,Steve Lopez,Waylon Lowe,UFC® 119,"Sep 25, 2010",MIR vs CRO COP,Loss,Steve Lopez
1,Jim Miller,Steve Lopez,UFC® 103,"Sep 19, 2009",FRANKLIN vs BELFORT,Loss,Steve Lopez
0,Brendan Loughnane,Mike Wilkinson,UFC on FX,"Dec 14, 2012",Sotiropoulos vs. Pearson,Loss,Brendan Loughnane
0,Yves Jabouin,Ian Loveland,UFC® RIO Live on Pay-Per-View,"Aug 27, 2011",Silva vs. Okami,Loss,Ian Loveland
1,Joseph Benavidez,Ian Loveland,UFC® 128,"Mar 19, 2011",SHOGUN vs JONES,Loss,Ian Loveland
2,Ian Loveland,Tyler Toner,The Ultimate Fighter® 12,"Dec 4, 2010",Team GSP vs Team Koscheck Finale,Win,Ian Loveland
0,Waylon Lowe,Nik Lentz,UFC Fight Night™,"Mar 26, 2011",NOGUEIRA vs. DAVIS,Loss,Waylon Lowe
1,Waylon Lowe,Willamy Freire,UFC® Fight Night™,"Jan 22, 2011",Fight for the Troops 2,Win,Waylon Lowe
2,Steve Lopez,Waylon Lowe,UFC® 119,"Sep 25, 2010",MIR vs CRO COP,Win,Waylon Lowe
3,Melvin Guillard,Waylon Lowe,UFC® 114,"May 29, 2010",RAMPAGE vs EVANS,Loss,Waylon Lowe
0,Aaron Rosa,Matt  Lucas,UFC®,"Nov 12, 2011",Velasquez vs. Dos Santos,Loss,Matt  Lucas
0,Che Mills,Duane Ludwig,UFC®,"Sep 29, 2012",Struve vs. Miocic,Loss,Duane Ludwig
1,Dan Hardy,Duane Ludwig,UFC® 146,"May 26, 2012",Dos Santos vs. Mir,Loss,Duane Ludwig
2,Duane Ludwig,Josh Neer,UFC®,"Jan 20, 2012",Guillard vs. Miller,Loss,Duane Ludwig
3,Amir Sadollah,Duane Ludwig,UFC LIVE,"Aug 14, 2011",Hardy vs. Lytle,Win,Duane Ludwig
4,Duane Ludwig,Nick Osipczak,UFC® 122,"Nov 13, 2010",MARQUARDT vs OKAMI,Win,Duane Ludwig
5,Duane Ludwig,Darren Elkins,UFC® on Versus,"Mar 21, 2010",VERA vs JONES,Loss,Duane Ludwig
6,Jim Miller,Duane Ludwig,UFC® 108,"Jan 2, 2010",EVANS vs SILVA,Loss,Duane Ludwig
7,Lyle Beerbohm,Duane Ludwig,Strikeforce Challengers 2,"Jun 19, 2009",,Loss,Duane Ludwig
8,Duane Ludwig,Yves Edwards,Strikeforce - Destruction,"Nov 21, 2008",,Win,Duane Ludwig
9,Duane Ludwig,Sammy Morgan,Strikeforce - Payback,"Oct 3, 2008",,Win,Duane Ludwig
10,Paul Daley,Duane Ludwig,Strikeforce - Shamrock vs. Baroni,"Jun 22, 2007",,Loss,Duane Ludwig
11,Duane Ludwig,Tony Fryklund,Strikeforce - Triple Threat,"Dec 8, 2006",,Win,Duane Ludwig
12,Josh Thomson,Duane Ludwig,Strikeforce - Tank vs. Buentello,"Oct 7, 2006",,Loss,Duane Ludwig
13,Tyson Griffin,Duane Ludwig,Strikeforce - Revenge,"Jun 9, 2006",,Loss,Duane Ludwig
14,Duane Ludwig,Jonathan Goulet,UFC® Fight Night™,"Jan 16, 2006",3,Win,Duane Ludwig
15,BJ Penn,Duane Ludwig,K-1 ROMANEX,"May 22, 2004",,Loss,Duane Ludwig
16,Duane Ludwig,Genki Sudo,UFC® 42,"Apr 25, 2003",Sudden Impact,Win,Duane Ludwig
0,Robbie  Peralta,Mike  Lullo,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Loss,Mike  Lullo
1,Mike  Lullo,Edson  Barboza,UFC® 123,"Nov 20, 2010",RAMPAGE vs MACHIDA,Loss,Mike  Lullo
0,Dan Hardy,Chris Lytle,UFC LIVE,"Aug 14, 2011",Hardy vs. Lytle,Win,Chris Lytle
1,Brian Ebersole,Chris Lytle,UFC® 127,"Feb 26, 2011",PENN vs. FITCH,Loss,Chris Lytle
2,Matt Serra,Chris Lytle,UFC® 119,"Sep 25, 2010",MIR vs CRO COP,Win,Chris Lytle
3,Chris Lytle,Matt Brown,UFC® 116,"Jul 3, 2010",LESNAR vs CARWIN,Win,Chris Lytle
4,Chris Lytle,Brian Foster,UFC® 110,"Feb 20, 2010",NOGUEIRA vs VELASQUEZ,Win,Chris Lytle
5,Chris Lytle,Kevin Burns,The Ultimate Fighter®,"Jun 20, 2009",Team US vs Team UK FINALE,Win,Chris Lytle
6,Marcus Davis,Chris Lytle,UFC® 93,"Jan 17, 2009",FRANKLIN vs HENDERSON,Loss,Chris Lytle
7,Chris Lytle,Paul Taylor,UFC® 89,"Oct 18, 2008",BISPING vs LEBEN,Win,Chris Lytle
8,Josh Koscheck,Chris Lytle,UFC® 86,"Jul 5, 2008",JACKSON vs GRIFFIN,Loss,Chris Lytle
9,Chris Lytle,Kyle Bradley,UFC® 81,"Feb 2, 2008",BREAKING POINT,Win,Chris Lytle
10,Thiago Alves,Chris Lytle,UFC® 78,"Nov 17, 2007",VALIDATION,Loss,Chris Lytle
11,Chris Lytle,Jason Gilliam,UFC® 73,"Jul 7, 2007",STACKED,Win,Chris Lytle
12,Matt Hughes,Chris Lytle,UFC® 68,"Mar 3, 2007",THE UPRISING,Loss,Chris Lytle
13,Matt Serra,Chris Lytle,The Ultimate Fighter® 4,"Nov 11, 2006",Finale,,Chris Lytle
14,Chris Lytle,Trenell Young,WEC 18,"Jan 13, 2006",Unfinished Business,Win,Chris Lytle
15,Joe Riggs,Chris Lytle,UFC® 55,"Oct 7, 2005",Fury,Loss,Chris Lytle
16,Chris Lytle,Pat Healy,WEC 15,"May 19, 2005",Judgment Day,Win,Chris Lytle
17,Karo Parisyan,Chris Lytle,UFC® 51,"Feb 5, 2005",Super Saturday,Loss,Chris Lytle
18,Chris Lytle,Ronald Jhun,UFC® 49,"Aug 21, 2004",Unfinished Business,Win,Chris Lytle
19,Chris Lytle,Tiki Ghosn,UFC® 47,"Apr 2, 2004",IT'S ON,Win,Chris Lytle
20,Robbie Lawler,Chris Lytle,UFC® 45,"Nov 21, 2003",Revolution,Loss,Chris Lytle
21,Ben Earwood,Chris Lytle,UFC® 28,"Nov 17, 2000",High Stakes,Loss,Chris Lytle
0,William Macario,Matt Dwyer,UFC Fight Night Bigfoot vs. Mir,"Feb 22, 2015",TSN 2,Loss,William Macario
1,William Macario,Neil Magny,UFC 179 Aldo vs. Mendes 2,"Oct 25, 2014",Live on Pay-Per-View,Loss,William Macario
2,William Macario,Bobby Voelker,UFC 168 Live on Pay-Per-View,"Dec 28, 2013",Weidman vs. Silva 2,Win,William Macario
3,William Macario,Leonardo Santos,UFC on FUEL TV 10 Live from Brazil,"Jun 8, 2013",Nogueira vs. Werdum,,William Macario
0,Jason MacDonald,Tom Lawlor,UFC,"May 15, 2012",Korean Zombie vs. Poirier,Loss,Jason MacDonald
1,Alan Belcher,Jason MacDonald,UFC® Fight Night™ Live,"Sep 17, 2011",SHIELDS vs. ELLENBERGER,Loss,Jason MacDonald
2,Jason MacDonald,Ryan Jensen,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,Win,Jason MacDonald
3,Jason MacDonald,John Salter,UFC® 113,"May 8, 2010",MACHIDA vs SHOGUN 2,Loss,Jason MacDonald
4,Nate Quarry,Jason MacDonald,UFC® 97,"Apr 18, 2009",REDEMPTION,Loss,Jason MacDonald
5,Wilson Gouveia,Jason MacDonald,The Ultimate Fighter® Finale,"Dec 13, 2008",Team Nog vs Team Mir,Loss,Jason MacDonald
6,Jason MacDonald,Jason Lambert,UFC® 88,"Sep 6, 2008",BREAKTHROUGH,Win,Jason MacDonald
7,Demian Maia,Jason MacDonald,UFC® 87,"Aug 9, 2008",SEEK AND DESTROY,Loss,Jason MacDonald
8,Jason MacDonald,Joe Doerksen,UFC® 83,"Apr 19, 2008",SERRA vs ST-PIERRE 2,Win,Jason MacDonald
9,Yushin Okami,Jason MacDonald,UFC® 77,"Oct 20, 2007",HOSTILE TERRITORY,Loss,Jason MacDonald
10,Jason MacDonald,Rory Singer,UFC® 72,"Jun 16, 2007",VICTORY,Win,Jason MacDonald
11,Rich Franklin,Jason MacDonald,UFC® 68,"Mar 3, 2007",THE UPRISING,Loss,Jason MacDonald
12,Jason MacDonald,Chris Leben,UFC® 66,"Dec 30, 2006",LIDDELL VS. ORTIZ,Win,Jason MacDonald
13,Jason MacDonald,Ed Herman,Ortiz vs Shamrock 3,"Oct 10, 2006",The Final Chapter,Win,Jason MacDonald
0,Rory MacDonald,Stephen Thompson,UFC Fight Night MacDonald vs. Thompson,"Jun 18, 2016",Live on TSN 5,Loss,Rory MacDonald
1,Robbie Lawler,Rory MacDonald,UFC 189 Mendes vs. McGregor,"Jul 11, 2015",Live on Pay-Per-View,,Rory MacDonald
2,Rory MacDonald,Tarec Saffiedine,UFC Fight Night MacDonald vs. Saffiedine,"Oct 4, 2014",Sportsnet 360,Win,Rory MacDonald
3,Rory MacDonald,Tyron Woodley,UFC 174 Johnson vs. Bagautinov,"Jun 14, 2014",Live on Pay-Per-View,Win,Rory MacDonald
4,Rory MacDonald,Demian Maia,UFC 170 Rousey vs. McMann,"Feb 22, 2014",Live on Pay-Per-View,Win,Rory MacDonald
5,Rory MacDonald,Robbie Lawler,UFC 167 Live on Pay-Per-View,"Nov 16, 2013",St-Pierre vs. Hendricks,Loss,Rory MacDonald
6,Rory MacDonald,Jake Ellenberger,UFC on FOX 8 Live from Seattle,"Jul 27, 2013",Johnson vs. Moraga,Win,Rory MacDonald
7,BJ Penn,Rory MacDonald,UFC®,"Dec 8, 2012",Henderson vs. Diaz,Win,Rory MacDonald
8,Rory MacDonald,Che Mills,UFC® 145,"Apr 21, 2012",Jones vs. Evans,Win,Rory MacDonald
9,Rory MacDonald,Mike Pyle,UFC® 133,"Aug 6, 2011",Evans vs. Ortiz,Win,Rory MacDonald
10,Nate Diaz,Rory MacDonald,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,Win,Rory MacDonald
11,Carlos Condit,Rory MacDonald,UFC® 115,"Jun 12, 2010",LIDDELL vs. FRANKLIN,Loss,Rory MacDonald
12,Rory MacDonald,Mike Guymon,UFC® Fight Night™,"Jan 11, 2010",MAYNARD vs DIAZ,Win,Rory MacDonald
0,Vitor Belfort,Lyoto Machida,UFC 224 Nunes vs Pennington,"May 12, 2018",Live on Pay-Per-View,Win,Lyoto Machida
1,Lyoto Machida,Eryk Anders,UFC Fight Night Machida vs. Anders,"Feb 3, 2018",Live on TSN 2,Win,Lyoto Machida
2,Derek Brunson,Lyoto Machida,UFC Fight Night Machida vs Brunson,"Oct 28, 2017",Live on TSN 2,Loss,Lyoto Machida
3,Lyoto Machida,Yoel Romero,UFC Fight Night Machida vs. Romero,"Jun 27, 2015",TSN,Loss,Lyoto Machida
4,Lyoto Machida,Luke Rockhold,UFC Fight Night Machida vs. Rockhold,"Apr 18, 2015",CTV TWO,Loss,Lyoto Machida
5,Lyoto Machida,CB Dollaway,UFC Fight Night Machida vs. Dollaway,"Dec 20, 2014",Sportsnet 360,Win,Lyoto Machida
6,Chris Weidman,Lyoto Machida,UFC 175 Weidman vs. Machida,"Jul 5, 2014",Live on Pay-Per-View,,Lyoto Machida
7,Lyoto Machida,Gegard Mousasi,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Win,Lyoto Machida
8,Lyoto Machida,Mark Munoz,UFC Fight Night Live on Sportsnet,"Oct 26, 2013",Machida vs. Munoz,Win,Lyoto Machida
9,Lyoto Machida,Phil Davis,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,Loss,Lyoto Machida
10,Lyoto Machida,Dan Henderson,UFC 157,"Feb 23, 2013",Rousey vs. Carmouche,Win,Lyoto Machida
11,Lyoto Machida,Ryan Bader,UFC® on FOX,"Aug 4, 2012",Shogun vs. Vera,Win,Lyoto Machida
12,Jon Jones,Lyoto Machida,UFC® 140,"Dec 10, 2011",Jones vs. Machida,,Lyoto Machida
13,Lyoto Machida,Randy Couture,UFC® 129,"Apr 30, 2011",ST-PIERRE vs. SHIELDS,Win,Lyoto Machida
14,Rampage Jackson,Lyoto Machida,UFC® 123,"Nov 20, 2010",RAMPAGE vs MACHIDA,Loss,Lyoto Machida
15,Lyoto Machida,Mauricio Rua,UFC® 113,"May 8, 2010",MACHIDA vs SHOGUN 2,,Lyoto Machida
16,Lyoto Machida,Mauricio Rua,UFC® 104,"Oct 24, 2009",MACHIDA v SHOGUN,,Lyoto Machida
17,Lyoto Machida,Rashad Evans,UFC® 98,"May 23, 2009",EVANS vs MACHIDA,,Lyoto Machida
18,Lyoto Machida,Thiago Silva,UFC® 94,"Jan 31, 2009",ST-PIERRE VS PENN 2,Win,Lyoto Machida
19,Lyoto Machida,Tito Ortiz,UFC® 84,"May 24, 2008",ILL WILL,Win,Lyoto Machida
20,Lyoto Machida,Rameau Sokoudjou,UFC® 79,"Dec 29, 2007",NEMESIS,Win,Lyoto Machida
21,Lyoto Machida,Kazuhiro Nakamura,UFC® 76,"Sep 22, 2007",KNOCKOUT,Win,Lyoto Machida
22,Lyoto Machida,David Heath,UFC® 70,"Apr 21, 2007",NATIONS COLLIDE,Win,Lyoto Machida
23,Lyoto Machida,Sam Hoger,UFC® 67,"Feb 3, 2007",ALL OR NOTHING,Win,Lyoto Machida
24,Lyoto Machida,Vernon White,WFA - King of the Streets,"Jul 22, 2006",,Win,Lyoto Machida
25,Lyoto Machida,Dimitiri Wanderley,Jungle Fight 6,"Apr 29, 2006",,Win,Lyoto Machida
26,Lyoto Machida,BJ Penn,K-1 Hero's 1,"Mar 26, 2005",,Win,Lyoto Machida
27,Lyoto Machida,Sam Greco,K-1 ROMANEX,"May 22, 2004",,Win,Lyoto Machida
28,Lyoto Machida,Michael McDonald,K-1 Beast 2004,"Mar 14, 2004",,Win,Lyoto Machida
29,Lyoto Machida,Rich Franklin,Inoki Bom-Ba-Ye 2003,"Dec 31, 2003",,Win,Lyoto Machida
30,Lyoto Machida,Stephan Bonnar,Jungle Fight 1,"Sep 13, 2003",,Win,Lyoto Machida
31,Lyoto Machida,Kengo Watanabe,NJPW - Ultimate Crush,"May 2, 2003",,Win,Lyoto Machida
0,Jon Madsen,Mike Russow,UFC Fight Night™,"Mar 26, 2011",NOGUEIRA vs. DAVIS,Loss,Jon Madsen
1,Jon Madsen,Gilbert Yvel,UFC® 121,"Oct 23, 2010",LESNAR vs VELASQUEZ,Win,Jon Madsen
2,Jon Madsen,Karlos Vemola,UFC® 116,"Jul 3, 2010",LESNAR vs CARWIN,Win,Jon Madsen
3,Jon Madsen,Mostapha Al Turk,UFC® 112,"Apr 10, 2010",INVINCIBLE,Win,Jon Madsen
4,Jon Madsen,Justin Wren,The Ultimate Fighter®,"Dec 5, 2009",Heavyweights FINALE,Win,Jon Madsen
0,Stevie Ray,Leonardo Mafra,UFC Fight Night Bisping vs. Leites,"Jul 18, 2015",TSN 2,Loss,Leonardo Mafra
1,Leonardo Mafra,Cain Carrizosa,UFC Fight Night Maia vs. LaFlare,"Mar 21, 2015",TSN 1,Win,Leonardo Mafra
2,Rick Story,Leonardo Mafra,UFC Fight Night Cerrone vs. Miller,"Jul 16, 2014",Sportsnet 360,Loss,Leonardo Mafra
3,Thiago Perpétuo,Leonardo Mafra,UFC® 147,"Jun 23, 2012",Silva vs. Franklin II,Loss,Leonardo Mafra
0,Henry Martinez,Bernardo Magalhaes,UFC®,"Jun 8, 2012",Johnson vs. McCall,Loss,Bernardo Magalhaes
1,Tim Means,Bernardo Magalhaes,UFC®,"Feb 15, 2012",Sanchez vs. Ellenberger,Loss,Bernardo Magalhaes
0,Brad Tavares,Caio Magalhaes,UFC 203 Miocic vs. Overeem,"Sep 10, 2016",Live on Pay-Per-View,Loss,Caio Magalhaes
1,Josh Samman,Caio Magalhaes,UFC Fight Night Ellenberger vs. Thompson,"Jul 12, 2015",TSN,Loss,Caio Magalhaes
2,Caio Magalhaes,Trevor Smith,UFC Fight Night Shogun vs. Saint Preux,"Nov 8, 2014",UFC FIGHT PASS,Win,Caio Magalhaes
3,Caio Magalhaes,Luke Zachrich,UFC Fight Night Werdum vs. Browne,"Apr 19, 2014",Sportsnet 360,Win,Caio Magalhaes
4,Nick Ring,Caio Magalhaes,UFC Fight Night Live on Sportsnet One,"Dec 6, 2013",Hunt vs. Bigfoot,Win,Caio Magalhaes
5,Caio Magalhaes,Karlos Vemola,UFC on FUEL TV 10 Live from Brazil,"Jun 8, 2013",Nogueira vs. Werdum,Win,Caio Magalhaes
6,Buddy Roberts,Caio Magalhaes,UFC®,"Jun 8, 2012",Johnson vs. McCall,Loss,Caio Magalhaes
0,Vinny Magalhaes,Anthony Perosh,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,Loss,Vinny Magalhaes
1,Phil Davis,Vinny Magalhaes,UFC 159  Live on Pay-Per View,"Apr 27, 2013",Jones vs. Sonnen,Loss,Vinny Magalhaes
2,Igor Pokrajac,Vinny Magalhaes,UFC® 152 Live on Pay-Per-View,"Sep 22, 2012",Jones vs. Belfort,Win,Vinny Magalhaes
3,Eliot Marshall,Vinny Magalhaes,UFC® 97,"Apr 18, 2009",REDEMPTION,Loss,Vinny Magalhaes
4,Ryan Bader,Vinny Magalhaes,The Ultimate Fighter® Finale,"Dec 13, 2008",Team Nog vs Team Mir,,Vinny Magalhaes
0,Amanda Cooper,Angela Magana,UFC 218 Holloway vs Aldo 2,"Dec 2, 2017",Live on Pay-Per-View,Loss,Angela Magana
1,Angela Magana,Michelle Waterson,UFC Fight Night Ellenberger vs. Thompson,"Jul 12, 2015",TSN,Loss,Angela Magana
2,Tecia Torres,Angela Magana,The Ultimate Fighter Esparza vs. Namajunas,"Dec 12, 2014",Sportsnet 360,Loss,Angela Magana
0,Mitch Clarke,John Maguire,UFC 161 Live from Winnipeg,"Jun 15, 2013",Evans vs. Henderson,Loss,John Maguire
1,Matthew Riddle,John Maguire,UFC® 154,"Nov 17, 2012",St-Pierre vs. Condit,Loss,John Maguire
2,John Hathaway,John Maguire,UFC®,"Sep 29, 2012",Struve vs. Miocic,Loss,John Maguire
3,DaMarques Johnson,John Maguire,UFC® Live,"Apr 14, 2012",Gustafsson vs. Silva,Win,John Maguire
4,John Maguire,Justin  Edwards,UFC® 138,"Nov 5, 2011",LEBEN vs. MUNOZ,Win,John Maguire
0,Damon Jackson,Levan Makashvili,UFC Fight Night Johnson vs. Bader,"Jan 30, 2016",Live on FOX,DRAW,Levan Makashvili
1,Hacran Dias,Levan Makashvili,UFC Fight Night Machida vs. Romero,"Jun 27, 2015",TSN,Loss,Levan Makashvili
2,Mark Eddiva,Levan Makashvili,UFC Fight Night Edgar vs. Faber,"May 16, 2015",TSN,Win,Levan Makashvili
0,Zach Makovsky,Dustin Ortiz,UFC 206 Holloway vs Pettis,"Dec 10, 2016",Live on Pay-Per-View,Loss,Zach Makovsky
1,Joseph Benavidez,Zach Makovsky,UFC Fight Night Hendricks vs. Thompson,"Feb 6, 2016",Live on TSN 1,Loss,Zach Makovsky
2,John Dodson,Zach Makovsky,UFC 187 Johnson vs. Cormier,"May 23, 2015",Live on Pay-Per-View,Loss,Zach Makovsky
3,Zach Makovsky,Tim Elliott,UFC Fight Night Henderson vs. Thatch,"Feb 14, 2015",TSN 5,Win,Zach Makovsky
4,Jussier Formiga,Zach Makovsky,UFC Fight Night Bader vs. Saint Preux,"Aug 16, 2014",Sportsnet 360,Loss,Zach Makovsky
5,Zach Makovsky,Josh Sampo,UFC 170 Rousey vs. McMann,"Feb 22, 2014",Live on Pay-Per-View,Win,Zach Makovsky
6,Scott Jorgensen,Zach Makovsky,UFC Fight Night Live on Sportsnet 360,"Dec 14, 2013",Johnson vs. Benavidez 2,Win,Zach Makovsky
0,Fabio Maldonado,Corey Anderson,UFC Fight Night Belfort vs Henderson,"Nov 7, 2015",FS1,Loss,Fabio Maldonado
1,Rampage Jackson,Fabio Maldonado,UFC 186 Johnson vs. Horiguchi,"Apr 25, 2015",Live on Pay-Per-View,Loss,Fabio Maldonado
2,Fabio Maldonado,Hans Stringer,UFC 179 Aldo vs. Mendes 2,"Oct 25, 2014",Live on Pay-Per-View,Win,Fabio Maldonado
3,Stipe Miocic,Fabio Maldonado,UFC Fight Night Miocic vs. Maldonado,"May 31, 2014",UFC Fight Pass,Loss,Fabio Maldonado
4,Fabio Maldonado,Gian Villante,UFC Fight Night Shogun vs. Henderson 2,"Mar 23, 2014",Sportsnet 360,Win,Fabio Maldonado
5,Fabio Maldonado,Joey Beltran,UFC Fight Night Live on Sportsnet,"Oct 9, 2013",Maia vs. Shields,Win,Fabio Maldonado
6,Fabio Maldonado,Roger Hollett,UFC on FX 8 Live from Brazil,"May 18, 2013",Belfort vs. Rockhold,Win,Fabio Maldonado
7,Glover Teixeira,Fabio Maldonado,UFC® 153,"Oct 13, 2012",Silva vs. Bonnar,Loss,Fabio Maldonado
8,Igor Pokrajac,Fabio Maldonado,UFC,"May 15, 2012",Korean Zombie vs. Poirier,Loss,Fabio Maldonado
9,Fabio Maldonado,Kyle Kingsbury,The Ultimate Fighter®,"Jun 4, 2011",Team Lesnar vs. Team Dos Santos Finale,Loss,Fabio Maldonado
10,James McSweeney,Fabio Maldonado,UFC® 120,"Oct 16, 2010",BISPING vs AKIYAMA,Win,Fabio Maldonado
0,Joaquim Silva,Nazareno Malegarie,UFC 191 Johnson vs. Dodson 2,"Sep 5, 2015",Live on Pay-Per-View,Loss,Nazareno Malegarie
0,Jon Manley,Neil Magny,UFC 157,"Feb 23, 2013",Rousey vs. Carmouche,Loss,Jon Manley
0,Cristiano Marcello,Joe Proctor,UFC Fight Night Live on Sportsnet 360,"Feb 15, 2014",Machida vs. Mousasi,Loss,Cristiano Marcello
1,Cristiano Marcello,Kazuki Tokudome,UFC,"Mar 2, 2013",Japan 2013,Loss,Cristiano Marcello
2,Cristiano Marcello,Reza Madadi,UFC® 153,"Oct 13, 2012",Silva vs. Bonnar,Win,Cristiano Marcello
3,Cristiano Marcello,Sam Sicilia,The Ultimate Fighter Live®,"Jun 1, 2012",Finale,Loss,Cristiano Marcello
4,Mitsuhiro Ishida,Cristiano Marcello,PRIDE Bushido 12,"Aug 27, 2006",,Loss,Cristiano Marcello
0,Jose Maria,Dustin Ortiz,UFC Fight Night Live on Sportsnet 360,"Nov 9, 2013",Belfort vs. Henderson,Loss,Jose Maria
1,John Lineker,Jose Maria,UFC 163 Live on Pay-Per-View,"Aug 3, 2013",Aldo vs. Korean Zombie,Loss,Jose Maria
0,Sage Northcutt,Enrique Marin,UFC 200 Tate vs Nunes,"Jul 9, 2016",Live on Pay-Per-View,Loss,Enrique Marin
1,Erick Montano,Enrique Marin,UFC Fight Night Brown vs Gastelum,"Nov 21, 2015",TSN1,,Enrique Marin
0,Ronny Markes,Thiago Santos,UFC Fight Night Shogun vs. Henderson 2,"Mar 23, 2014",Sportsnet 360,Loss,Ronny Markes
1,Ronny Markes,Yoel Romero,UFC Fight Night Live on Sportsnet 360,"Nov 6, 2013",Kennedy vs. Natal,Loss,Ronny Markes
2,Ronny Markes,Andrew Craig,UFC ON SPORTSNET,"Jan 19, 2013",Belfort vs. Bisping,Win,Ronny Markes
3,Aaron Simpson,Ronny Markes,UFC®,"Feb 15, 2012",Sanchez vs. Ellenberger,Win,Ronny Markes
4,Ronny Markes,Karlos Vemola,UFC LIVE,"Aug 14, 2011",Hardy vs. Lytle,Win,Ronny Markes
